sentence_source,label,label_notes,sentence
28130026,0,a,"BACKGROUND: Sex workers are disproportionately affected by HIV compared with the general population. Most studies of HIV risk among sex workers have focused on individual-level risk factors, with few studies assessing potential structural determinants of HIV risk. In this Article, we examine whether criminal laws around sex work are associated with HIV prevalence among female sex workers. METHOD: We estimate cross-sectional, ecological regression models with data from 27 European countries on HIV prevalence among sex workers from the European Centre for Disease Control; sex-work legislation from the US State Department's Country Reports on Human Rights Practices and country-specific legal documents; the rule of law and gross-domestic product per capita, adjusted for purchasing power, from the World Bank; and the prevalence of injecting drug use among sex workers. Although data from two countries include male sex workers, the numbers are so small that the findings here essentially pertain to prevalence in female sex workers. FINDINGS: Countries that have legalised some aspects of sex work (n=17) have significantly lower HIV prevalence among sex workers than countries that criminalise all aspects of sex work (n=10; beta=-2.09, 95% CI -0.80 to -3.37; p=0.003), even after controlling for the level of economic development (beta=-1.86; p=0.038) and the proportion of sex workers who are injecting drug users (-1.93; p=0.026). We found that the relation between sex work policy and HIV among sex workers might be partly moderated by the effectiveness and fairness of enforcement, suggesting legalisation of some aspects of sex work could reduce HIV among sex workers to the greatest extent in countries where enforcement is fair and effective. INTERPRETATION: Our findings suggest that the legalisation of some aspects of sex work might help reduce HIV prevalence in this high-risk group, particularly in countries where the judiciary is effective and fair. FUNDING: European Centre for Disease Prevention and Control."
10281815,1,a,"The historical equilibrium of the health care industry has been disturbed by recent and radical changes in both the financing of medical services and the structure of the industry. The applicability of antitrust laws to the health field, the use of advertising, and the dismantling of quasilegal barriers, such as certificate-of-need (CON) laws, have made economics of scale and efficiency increasingly important determinants of the size and type of organization delivering health services. Such changes, coupled with those pertaining to the financial incentives facing both patients and providers and emerging excess capacity, have wrought a rapid transformation of the structure of the industry. If hospitals and physicians are to survive, they must be able to anticipate new and increasingly competitive developments. Because competition eliminates cross-subsidies, access to care, especially by the poor, is certain to become more precarious."
30616565,0,a,"BACKGROUND: The growth and development that occurs in early childhood has long-term implications, therefore understanding the relevant determinants is needed to inform early prevention and intervention. The objectives of the study were to examine: 1) the longitudinal associations of physical activity and sedentary behavior with social skills and 2) how physical activity and sedentary behavior track over three time-points. METHODS: Participants were from the Parents' Role in Establishing healthy Physical activity and Sedentary behavior habits (PREPS) project. A total of 251 eligible toddlers and their parents participated at baseline in 2014/15 (time 1; 1.6 +/- 0.2 years) and a sub-sample participated at 1-year (time 2; n = 79; 2.7 +/- 0.3 years) and 2-year (time 3; n = 77; 3.7 +/- 0.4 years) follow-ups. Sedentary time (</=25 counts/15 s), light-intensity physical activity (LPA; 26-419 counts/15 s), and moderate- to vigorous-intensity physical activity (MVPA; >/=420/15 s) were objectively measured with wGT3X-BT ActiGraph accelerometers, and standardized for wear time. Parents reported their children's screen time (television/video, video/computer games) at all three time-points. Parents also reported on children's social skills using the Adaptive Social Behavior Inventory (ASBI) at time-points 2 and 3, and comply (e.g., cooperates; 10 items), express (e.g., joins play; 13 items), and disrupt (e.g., teases; 7 items) subscales were created by summing items. Generalized estimating equations (GEE) were conducted to address objective one. Tracking coefficients (low: beta1 < 0.30; moderate: beta1 = 0.30-0.59; moderate-high: beta1 = 0.60-0.90; high: beta1 > 0.9) were conducted using GEE to address objective two. RESULTS: Across the study, screen time was negatively associated with express (b = - 0.068, 95%CI: -0.114, - 0.023) and comply (b = - 0.056; 95%CI: -0.094, - 0.018) scores and positively associated with disrupt scores (b = 0.004; 95% CI: 0.001, 0.006). Findings were similar for television/videos but less consistent for video/computer games. No associations were observed for physical activity. Screen time significantly tracked at moderate-high levels (beta1 = 0.63; 95% CI: 0.45, 0.81), while all other behaviors tracked at moderate levels (beta1 = 0.35-0.49; p < 0.01) over the three time-points. CONCLUSIONS: Screen time was unfavorably associated with social skills across early childhood. Furthermore, all behaviors tracked at moderate to moderate-high levels from toddler to preschool ages. Therefore, promoting healthy physical activity and sedentary behavior patterns early in life, especially for screen time, may be important."
3714667,1,a,"Standardized incidence ratios were calculated for cancers of the gastrointestinal tract in different socioeconomic and educational groups in Finland. The series constituted all patients with cancers of the esophagus, stomach, colon, rectum, liver (primary only), gallbladder, and pancreas recorded in the Finnish Cancer Registry in 1971-1975 (8,802 cases). Data on socioeconomic status and education were obtained from the records of the national census of December 31, 1970. Cancers of the colon and rectum were associated with high socioeconomic status and higher levels of education, cancers of the esophagus and stomach with lower classes. These associations are most likely to be mediated by dietary habits. No clear-cut association was found for other cancers."
21562996,0,a,"HIV infection may result in stressful situations such as disclosure to others and could be a mediator between seropositivity status and psychiatric illness, depression, or anxiety. Several results have shown that anxiolytic use (mainly benzodiazepines [BDZ]) is highly prevalent in HIV-infected individuals, but few studies have highlighted to what extent this use could be associated with HIV disclosure. A national cross-sectional survey representative of people living with HIV and AIDS in France enrolled 2932 individuals in 102 French HIV hospital departments. Face-to-face interviews and self-administered questions collected information about patients' experience with HIV and HIV care, including use of psychotropic drugs, social support, stigma, and disclosure of HIV status. We identified factors associated with regular BDZ use (i.e., more than once a week) using a weighted logistic regression model. Regular BDZ use and anxiety symptoms were reported by 16% and 29% of the patients, respectively. After multiple adjustment for known correlates of BDZ use and anxiety symptoms, individuals who had disclosed their HIV status to relatives or friends were found to be more likely (OR [95% CI] = 1.78 [1.02-3.09]) to regularly use BDZ. These results show both to what extent disclosure to others continues to be a stressful step in the course of HIV infection and that disclosure is something that could be identified by BDZ use. They also highlight the need for appropriate case management and psychiatric care to help patients manage the consequences of disclosure."
29936785,0,a,"Background: One of the malignant tumors is Breast Cancer (BC) that starts in the cells of breast. There is many models for survival analysis of patients such as Cox PH model, Parametric models etc. But some disease are that all of patients will not experience main event then usual survival model is inappropriate. In addition, In the presence of cured patients, if researcher can specify distribution of survival time, usually cure rate models are preferable to parametric models. Distribution of Survival time can be Weibull, Log normal, Logistic, Gamma and so. Comparison of Weibull, Log normal and Logistic distribution for finding the best distribution of survival time is purpose of this study. Material and Methods: Among 787 patients with BC by Cancer Research Center recognized and followed from 1985 until 2013. Variables stage of cancer, age at diagnosis, tumor size and Number of Removed Positive Lymph Nodes (NRPLN) for fitting Cure rate model were selected. The best model selected with DIC criteria. All analysis were performed using SAS 9.2. Results: Mean (SD) of age was 48.47 (11.49) years and Mean of survival time and Maximum follow up time was 326 and 55.12 months respectively. During following patients, 145 (18.4%) patients died from BC and others survived (censored). Also, 1-year, 5-year and 10-year survival rate was 94, 77 and 56 percent respectively. Log normal model with smaller DIC were selected and fitted. All of mentioned variables in the model were significant on cure rate. Conclusion: This study indicated that survival time of BC followed from Log normal distribution in the best way."
2573873,1,a,"Sociopharmacology is based on interdisciplinary research involving pharmacology, epidemiology, social medicine and sociology. It aims at finding out the social determinants of drug intake. How this goal is approached stepwise is shown in the case of the benzodiazepine group of active substances."
2649990,1,a,"A social epidemiological approach has been used to study social factors associated with chronic disease, as well as to promote community-oriented intervention programs to modify risk for cardiovascular disease. The present review suggests using a social epidemiological approach in a third way; to promote efforts directed toward family-oriented primary prevention of cardiovascular disease. Evidence is presented which shows an association between three family social factors (marital status, family socioeconomic status, family size) and risk for cardiovascular disease. The real determinants of risk, however, may be the underlying health-related behaviors indicated by each of these factors. Evidence is also presented which shows the importance of a fourth family social factor (family age) in promoting effective health education efforts to modify risk. Thus, a social epidemiological approach is more valuable than a single discipline-based approach in identifying, understanding, and modifying family social influences on cardiovascular risk."
3793442,1,a,"We analyze the ethical issues related to the physician's role in informing about, advising, rejecting, or performing a definitive birth control procedure (sterilization). We define a rational request for tubal ligation, the limited delaying (or facilitating) role that guidelines for deciding on ligation should have, the justifiable reasons for rejecting a request, and the physician's obligations and options. We also consider the need to supply adequate information, the implications of recommending a second-best treatment, and the pivotal place of the ""likelihood of regret"" in medical decision-making."
26321229,0,a,"PROBLEM: Excessive weight gain and physical inactivity in pregnancy have been identified as risk factors for negative health outcomes for mothers and fetuses, particularly among Aboriginal women. QUESTION: In this paper we engage with postcolonial feminist theory and critical discourse analysis to examine the question, ""how do urban Aboriginal women understand pregnancy-related weight gain and physical activity."" METHODS: We conducted focus groups and semi-structured interviews with 25 urban Aboriginal pregnant or postpartum women between the ages of 16 and 39 in Ottawa, Canada. FINDINGS: Three prominent discourses emerged: Aboriginal women have different pregnancies than non-Aboriginal women because Aboriginal women gain more weight and are more likely to develop gestational diabetes; Aboriginal women feel personally responsible for and shameful about excessive weight gain; finally, Aboriginal women need culturally safe pregnancy resources. DISCUSSION: Our results illuminate the complex and often paradoxical ways in which discourses around weight gain and physical activity are produced and taken-up by Aboriginal women and their healthcare providers. CONCLUSION: Based on these findings, we argue there is a lack of accessible and culturally safe resources for urban Aboriginal women, specifically concerning weight gain and physical activity in pregnancy. We recommend the development of resources that are created for/by/with Aboriginal women to better address that issues that urban Aboriginal women themselves identify as being of key importance."
