PMID,TI,AB,JT,DP,PL,YY,year
521899,Environmental determinants of memory improvement in late adulthood.,"Two studies were conducted with nursing home residents to determine whether memory could be improved. This was accomplished by increasing the cognitive demand of the environment and then varying the extent to which residents were motivated to attend to and remember these environmental factors. In Study 1, motivation to practice recommended cognitive activities was manipulated by varying the degree of reciprocal self-disclosure offered by interviewers in a series of dyadic interactions. In Study 2, motivation to practice recommended cognitive activities was manipulated by varying whether positive outcomes were contingent on attending to and remembering these activities, which increased in demand over time. Whether as a function of interpersonal (Study 1) or practical (Study 2) incentives, engaging in cognitive activity resulted in improvement on standard short-term memory tests, including probe recall and pattern recall, as well as in improvement on nurses' ratings of alertness, mental activity, and social adjustment for experimental groups relative to controls.",Journal of personality and social psychology,1979 Nov,United States,1979,70
508073,Epidemiologic profile of long-term stroke disability: the Framingham study.,"One hundred forty-eight long-term stroke survivors and 148 control persons matched for age and sex, from the Framingham Study cohort, were examined for residual functional disability. Prevalence rates for 9 specific types of functional deficit ranged from 15% for institutionalization, to 63% for decreased vocational function in the group of stroke survivors. The comparable rates in the control group were significantly lower. Cardiovascular comorbidity was greater in stroke survivors than in controls. Removal of its apparent effects on function decreased the magnitude, but not the overall pattern, of documented disability in both groups. The most severe disabilities, institutionalization, dependence in mobility, and dependence in self-care, were the least prevalent. The more frequently documented types of functional deficit were those in which psychosocial and environmental factors are significant determinants.",Archives of physical medicine and rehabilitation,1979 Nov,United States,1979,70
499795,The psychiatrist's role in behavioral pediatrics training programs.,"Behavioral pediatric fellowships are available in 15 major medical institutions in the United States. In general, these programs focus on the psychologic, social, and biologic determinants of behavior and learning disabilities in children. Child psychiatry's participation in the formulative stages of these programs is considered vital. The authors caution psychiatry to avoid concentrating its energies upon these socially and developmentally inclined behavioral pediatricians to the detriment of all pediatric house staff.",General hospital psychiatry,1979 Sep,United States,1979,70
452223,Psychologic effects of vasectomy in voluntarily childless men.,"Forty-four childless men and 51 vasectomized parents were compared as to their childhood backgrounds, marital satisfaction, social/emotional adjustment, physical and emotional problems attributed to the vasectomy, and attitudes toward vasectomy as a means of birth control. The findings suggested that for young married men, firmly committed to childlessness and in agreement with their wives regarding the necessity of the operation, vasectomy appears to be as physically and psychologically safe as in married parents for at least a two-year period. There were differences in the childfree men and fathers in styles of adjustment, with the childfree reporting themselves to be more independent, mobile, and less tied to tradition; these differences were seen as being more related to choosing a childfree life style than to the choice of vasectomy as a contraceptive method.",Urology,1979 Jul,United States,1979,70
462150,[Socioeconomic aspects of lung cancer].,"The socio-economic aspects of lung cancer are briefly considered, first, with regard to the causes conditioning its occurrence and clinical progress. Tobacco smoking, occupational exposure and air pollution are (in decreasing order of importance) the main determinants of lung cancer occurrence, which differs as between social classes. Social class also appears to be related to clinical progress of the disease. The economic consequences of lung cancer may be tentatively estimated, for a country like Switzerland, at 40 million Swiss francs per year, a sum which can be greatly reduced if a sustained collective effort at prevention is implemented.",Schweizerische medizinische Wochenschrift,1979 Jun 2,Switzerland,1979,70
476369,The course and determinants of reactions to myocardial infarction.,"The growth of speculative theories about response to physical illness has not been backed by quantitative information. The introduction of standardized measures of psychological and social adjustment has allowed description and analysis of disability for 100 patients and their spouses two and twelve months after a first myocardial infarction. (1) Global measures of social outcome were found to be inadequate and misleading and therefore work, leisure, marriage and family relationships, sex and compliance were separately examined. (2) There was considerable continuity in individual reactions throughout convalescence and it was possible (3) to identify factors in the premorbid psychosocial state predictive of outcome and (4) to describe characteristic patterns of coping. (5) Outcome for spouses can be similarly described and understood. The findings have clinical applications for diagnosis, prophylaxis, treatment and the evaluation of medical care. The conclusion also extend our understanding of the basic principles underlying response to physical illness.",The British journal of psychiatry : the journal of mental science,1979 Jun,England,1979,70
447967,Social determinants in food selection.,"Responses of 112 low-income homemakers to questions about the food use frequency, availability, and social determinants (convenience, price, and prestige) of fifty-two food items are reported. Results indicate that foods have clear meaning profiles that can be measured on attitudinal scales. Bivariate analysis was used to illustrate the interrelationships between food-use frequency and social determinants. Significant correlations were found between food use and convenience, price, prestige, and availability for fourteen of the fifty-two food items studied.",Journal of the American Dietetic Association,1979 Jun,United States,1979,70
443504,Determinants of genocide fear in a rural Texas community: a research note.,"Data were collected via a questionnaire administered to females 15-44 years of age and their most significant male partner from a 7% stratified random sample in Waller County, Texas. Analysis revealed that five independent variables combined explained 19% of the variance in race genocide fear (R2 = .19; p less than .01). The most important predictors of genocide fear were sex (Beta = .33; p less than .001) and education (Beta = .14; p less than .01).",American journal of public health,1979 Jun,United States,1979,70
221759,Psychosocial determinants of immunization behavior in a swine influenza campaign.,"A prospective design was used to study factors which predisposed individuals to receive vaccination in response to the anticipated outbreak of swine influenza in the fall and winter of 1976. Data were obtained from a telephone survey of 286 adults in Oakland County, Michigan. Predictor variables included Health Belief Model (HBM) variables as well as measures of behavioral intention, social influence, physician's advice, socioeconomic status and past experience with flu shots. In multivariate analysis, over 40 per cent of the variance in inoculation behavior was explained by the predictors used. Path analysis revealed that most of the HBM variables' influence on behavior was mediated through behavioral intention. While behavioral intention was an important predictor of inoculation behavior, other psychosocial factors played a significant role in explaining variance in the dependent variable.",Medical care,1979 Jun,United States,1979,70
439171,Economic stress and mental health.,"This paper correlates economic stress with minority status, resource allocations for mental health programs, and vulnerability to mental disability. Several hypotheses are advanced:1. A major and recurring psychological pattern of the American national character is prowhite, antiblack paranoia.2. Mental health fiscal allocations and programmatic determinations in ghetto, lower socioeconomic, minority-populated urban areas are predicated on political and racist considerations, the underlying motivation being to keep minorities at greater risk of mental disability.3. Economic privation and stress increase vulnerability to mental illness, especially in a minority population for whom health, mental health, educational, and social services are grossly inadequate.4. Poverty and economic stress combine with health systems that are unresponsive to the needs of blacks and other minorities, resulting in the perpetuation of disabilities and other conditions in blacks that are potentially preventable.5. Health and mental health resources should be increased rather than diminished during periods of economic stress, especially in the public sector.6. In order to provide each citizen with access to quality health and mental health care regardless of race and/or economic status, there must be enacted a national health insurance program based on tax-levy monies that will cover all aspects of health and mental health care.7. Racism and social status will continue to be powerful determinants of the quality of service that white professionals render to black patients and to poor white patients, unless our training institutions mount a massive campaign to train appropriately and to include significant numbers of minority candidates and trainees in the effort. To date this effort is virtually nonexistent.",Journal of the National Medical Association,1979 Apr,United States,1979,70
