PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,OID,OAB,OABL,OTO,OT,GN,EDAT,MHDA,CRDT,PHST,PST,SO,RN,EIN,RF,AID,GR,TT,PMC,CI,CIN,LID,CN,CON,PS,FPS,DEP
2029940,NLM,MEDLINE,19910620,20061115,0014-7354 (Print) 0014-7354 (Linking),23,1,1991 Jan-Feb,Tailoring family planning services to the special needs of adolescents.,24-30,"Experimental service protocols tailored to the needs of teenage family planning patients were developed that emphasized indepth counseling, education geared to an adolescent's level of development, and the provision of reassurance and social support. These protocols were tested against usual service delivery practices in a study involving 1,261 patients under 18 years of age at six nonmetropolitan family planning clinics. A comparison with teenagers obtaining services at control sites found that six months after their first clinic visit, patients at the experimental sites were more likely to be using a method, were less likely to experience difficulty in dealing with problems, were more likely to continue using their method despite problems and had learned more during the educational session. Teenage patients at the experimental clinics were also less likely to have become pregnant within one year than those who went to control clinics. Attrition during the year following the first study visit was similar among both groups; patient satisfaction was very high, and equivalent at experimental and control sites. The data show that the extra time and effort required to meet the special needs of teenagers is justified by their improved contraceptive use, greater knowledge and lower pregnancy rates.","['Winter, L', 'Breckenmaker, L C']","['Winter L', 'Breckenmaker LC']","['Family Health Council of Central Pennsylvania, Inc., Camp Hill.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Fam Plann Perspect,Family planning perspectives,0241370,IM J,"['Adolescent', 'Family Planning Services/*methods', 'Female', '*Health Knowledge, Attitudes, Practice', 'Humans', 'Male', 'Pregnancy', 'Risk Factors', 'Sex Education/methods']","['IND: 8017620', 'PIP: 065265', 'POP: 00213018']","['The results provided in this evaluation study of teenage family planning (FP)', 'services pertain to 3 components of intervention: the knowledge patients', 'acquired, their feelings about the clinic, and their FP experiences', '(contraceptive use, clinic attendance, and unintended pregnancy). Instruments', 'were designed to specifically measure the aforementioned components, and a full', ""description of the instruments is provided. A Cronbach's alpha of .84 revealed"", 'high internal consistency on the Satisfaction Scale, and factor analysis', 'indicated the scale functioned as a unified construct. The Knowledge Quiz showed', 'the reverse pattern. A pretest/posttest was implemented to differentiate exposed', 'and nonexposed nonrandomly selected patients from 6 teenage FP clinics. Patients', 'included both returning as well as 1st time patients. Information was collected', ""for 1 year after each patient's index visit. The intervention per the"", 'experimental protocol tool place over a 6-month period. Sites were selected that', 'were similar in patient characteristics and staff patterns, with the exception', 'that control sites had slightly higher continuation rates and experimental sites', 'had more 1st time patients. 1261 were involved in the study of which 518 were in', 'the experimental group. 251 were enrolled during the baseline period of which 93', 'were in the experimental group. 98% of the clinic patients were white, and 40%', 'were 17 years, 34% were 16 years, and 16% were 15 years. 22% were Roman Catholic.', 'A description of the program development revealed that the experimental protocols', 'were developed in committee. A Personal Information Form was generated to assess', 'the reasons for the visit, feelings about the clinic, sexual and contraceptive', 'history, and parental and partner approval about visiting the clinic or obtaining', 'contraception. 1 critical points were identified as critical in a total service', 'delivery system for adolescents. Baseline and treatment phase comparison findings', 'are presented as well as treatment phase comparisons. The findings were', 'supportive of an FP approach which attends to psychosocial needs for adolescents.', 'The most dramatic affect of the intervention was in contraceptive use. Patients', 'at experimental sites returning for their 6-month visit were more likely to be', 'continuing the original method at 6 months, experienced greater ease in coping', 'with problems, stayed with the method regardless of problems, and had a lower', 'pregnancy rate than controls. At 12 months the differences with the control group', 'narrowed for continuing use. Quiz scores and satisfaction scores were also higher', 'at experimental sites. Future suggestions are to drop the satisfaction test and', 'the no show or continuation report, and to streamline the research design and', 'include black and Hispanic teenagers.']",['eng'],['PIP'],"['*Adolescent Pregnancy--prevention and control', '*Adolescents', 'Age Factors', 'Americas', '*Attitude--changes', 'Behavior', 'Clinic Activities', 'Contraception', '*Contraception Continuation', '*Contraceptive Usage--determinants', '*Control Groups', '*Counseling', '*Data Analysis', '*Data Collection', 'Delivery Of Health Care', 'Demographic Factors', 'Developed Countries', 'Economic Factors', 'Education', '*Educational Activities', 'Family Planning', '*Family Planning Programs', 'Fertility', 'Health', '*Health Services', '*Knowledge', 'Market Research', '*Measurement', '*Needs', 'North America', 'Northern America', 'Organization And Administration', 'Pennsylvania', 'Population', 'Population Characteristics', 'Population Dynamics', '*Pregnancy, Unwanted--prevention and control', '*Pretesting', 'Program Activities', '*Program Development', '*Program Evaluation', 'Programs', 'Psychological Factors', '*Psychosocial Factors', 'Reproductive Behavior', 'Research Methodology', '*Research Report', '*Satisfaction', 'United States', 'Youth']",['PIP: TJ: FAMILY PLANNING PERSPECTIVES.'],1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Fam Plann Perspect. 1991 Jan-Feb;23(1):24-30.,,,,,,,,,,,,,,,
2026125,NLM,MEDLINE,19910607,20191022,0278-6133 (Print) 0278-6133 (Linking),10,1,1991,Self-management of diabetes mellitus: a critical review.,1-8,"Diabetes has no known cure and is a leading source of morbidity and mortality. Clinical management involves patients managing a complex and variable regimen. This article reviews the determinants of effective self-management and the methods of promoting better self-management. Trait variables (e.g., personality and demographics) have been presumed to affect self-management, but evidence suggests they have little impact. The important determinants of self-management are transient situational factors such as psychological stress and social pressure to eat. Interventions to promote better self-management have reported initial improvements in blood glucose control, but the long-term effects are unclear. We conclude that self-management has been inadequately assessed and that attempts to improve self-management have relied excessively on providing information. More research is needed to clarify determinants of self-management, and interventions to improve self-management will need to change these determinants.","['Goodall, T A', 'Halford, W K']","['Goodall TA', 'Halford WK']","['Department of Psychiatry, Royal Brisbane Hospital, University of Queensland, Herston, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Health Psychol,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",8211523,IM,"['Blood Glucose/metabolism', 'Diabetes Mellitus, Type 1/blood/*psychology', 'Humans', 'Patient Compliance/*psychology', 'Self Care/*psychology', '*Sick Role']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Health Psychol. 1991;10(1):1-8. doi: 10.1037//0278-6133.10.1.1.,['0 (Blood Glucose)'],['Health Psychol 1992;11(1):77'],80,['10.1037//0278-6133.10.1.1 [doi]'],,,,,,,,,,,
2018460,NLM,MEDLINE,19910523,20190912,0001-8244 (Print) 0001-8244 (Linking),21,1,1991 Jan,Body fat in identical twins reared apart: roles for genes and environment.,1-7,"We report analyses of data on body fat from a cohort of 34 separated monozygotic twin pairs (MZA) and a matched sample of 38 pairs of monozygotic twins reared together (MZT) originally studied by James Shields. The correlation for MZA pairs was .61 and the correlation for MZT pairs was .75. These correlations did not differ significantly, nor did correlations differ between MZA pairs subclassified as having been raised in relatively more or less similar environments. Our results suggest important roles for both genes and environment in the accumulation of body fat and support other adoption studies in suggesting that adult environments rather than rearing environments are the most important nongenetic determinants of levels of body fat in adults.","['Price, R A', 'Gottesman, I I']","['Price RA', 'Gottesman II']","['Department of Psychiatry, University of Pennsylvania, Philadelphia 19104-4283.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Behav Genet,Behavior genetics,0251711,IM,"['Adipose Tissue/*metabolism', 'Adult', 'Body Composition/*genetics', 'Diseases in Twins/*genetics', 'Female', 'Humans', 'Male', 'Obesity/*genetics/psychology', '*Social Environment', 'Twins, Monozygotic/genetics']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Behav Genet. 1991 Jan;21(1):1-7. doi: 10.1007/bf01067662.,,,,['10.1007/bf01067662 [doi]'],['MH43409/MH/NIMH NIH HHS/United States'],,,,,,,,,,
2014415,NLM,MEDLINE,19910515,20190726,0277-9536 (Print) 0277-9536 (Linking),32,2,1991,Determinants of mental illness in a rural Ethiopian adult population.,197-201,"A cross-sectional survey was conducted on 2000 adult Ethiopians living in rural communities to determine firstly the prevalence of mental illness and secondly its association with stress and demographic variables. The Self-Reporting Questionnaire developed by WHO experts was used as the measure of mental illness. A modified version of the Holmes-Rahe Social Readjustment Scale was the measure of stress. Respondents were interviewed in their homes. Those experiencing 11 or more of the 20 neurotic symptoms and 3 or more of the 4 psychotic symptoms were considered mentally ill. Despite the use of high cut-off points for identifying potential cases, the prevalence of mental illness was 17.2%--neurotic 11.2% and psychotic 6.0%. This is higher than earlier reports for Ethiopia, but comparable to rates found in other African countries. Mental illness scores were most strongly associated with stress in that the odds of experiencing 6 or more stressful life events in the past year were 2.7 times greater for neurotics and 2.1 times greater for psychotics. In addition, neuroses and psychoses were significantly associated with a family history of mental illness and with being divorced, separated or widowed. Neurosis alone was also associated with chronic illness, females, those between the ages of 35 and 44, and illiteracy. These findings were discussed in terms of their relevance for identifying high stress groups and thus for preventing mental illness through community activities.","['Tafari, S', 'Aboud, F E', 'Larson, C P']","['Tafari S', 'Aboud FE', 'Larson CP']","['McGill-Ethiopia Community Health Project, Addis Ababa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Soc Sci Med,Social science & medicine (1982),8303205,IM,"['Adolescent', 'Adult', 'Cross-Sectional Studies', 'Ethiopia/epidemiology', 'Female', 'Humans', 'Male', 'Mental Disorders/*epidemiology', 'Middle Aged', 'Prevalence', '*Rural Population', 'Stress, Psychological', 'Surveys and Questionnaires']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Soc Sci Med. 1991;32(2):197-201. doi: 10.1016/0277-9536(91)90060-p.,,,,['10.1016/0277-9536(91)90060-p [doi]'],,,,,,,,,,,
2014409,NLM,MEDLINE,19910515,20190726,0277-9536 (Print) 0277-9536 (Linking),32,2,1991,The Tromso Study: predictors of self-evaluated health--has society adopted the expanded health concept?,141-6,"The determinants of self-evaluated general health status were examined in a comprehensive population study of 9408 men aged 20-61 and 9152 women aged 20-56. Reduced self-evaluated health was in both sexes closely related to symptoms and diseases connected to the musculo-skeletal system and psycho-social problems and less to age and some of the major chronic diseases. Physical activity at leisure time and workload were positively associated with self-evaluated health. Our findings indicate that an important dimension reflected by self-evaluation of health is the individual's perception of own physical performance and suffice in general. There is a striking gap between the conditions which reduce the population's subjective perceived health and our ability to offer these conditions effective treatment through the health care system. This suggests differences in health concept between the medical society and the population. The association between our applied measure and coronary risk profile, based on serum cholesterol, blood pressure and cigarette smoking, was found to be almost non-existent. This supports previous findings of self-evaluation of health as an independent predictor of survival.","['Fylkesnes, K', 'Forde, O H']","['Fylkesnes K', 'Forde OH']","['Institute of Community Medicine, University of Tromso, Norway.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Soc Sci Med,Social science & medicine (1982),8303205,IM,"['Adult', 'Family Characteristics', 'Female', '*Health Status', 'Humans', 'Life Style', 'Male', 'Middle Aged', 'Norway', '*Self-Assessment', 'Socioeconomic Factors', 'Surveys and Questionnaires']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Soc Sci Med. 1991;32(2):141-6. doi: 10.1016/0277-9536(91)90053-f.,,,,['10.1016/0277-9536(91)90053-f [doi]'],,,,,,,,,,,
2004868,NLM,MEDLINE,19910425,20170214,0020-7314 (Print) 0020-7314 (Linking),21,1,1991,Women and AIDS in Zimbabwe: the making of an epidemic.,143-56,"As the AIDS epidemic in Africa assumes major proportions, the need to understand the social context in which heterosexual transmission occurs takes on urgent importance. In this article we explore how the intersection of traditional culture with the colonial legacy and present-day political economy has influenced family structure and sexual relations, and particularly the social position of women. Drawing on Zimbabwe's historical experience, we show how land expropriation, rural impoverishment, and the forcible introduction of male migrant labor fostered new patterns of sexual relations, characterized by multiple partners. Traditional patriarchal values reinterpreted in European law resulted in further subjugation of women as even limited rights to ownership were withdrawn. For many women, sexual relations with men, either within marriage (for the majority) or outside, become inextricably linked to economic and social survival. In this setting, all sexually transmitted diseases became rampant, including genital ulcer, which facilitates transmission of the human immunodeficiency virus (HIV). Intervention programs to halt the spread of AIDS need to take into the account the epidemic's historical roots and social nature. For example, efforts to reduce risk of HIV transmission should seek to expand women's limited options, both technically (e.g., by providing alternatives to condoms) and socially (e.g., by promoting employment).","['Bassett, M T', 'Mhloyi, M']","['Bassett MT', 'Mhloyi M']","['Department of Community Medicine, Avondale, Harare, Zimbabwe.']",['eng'],['Journal Article'],United States,Int J Health Serv,"International journal of health services : planning, administration, evaluation",1305035,IM J X,"['Acquired Immunodeficiency Syndrome/*epidemiology/prevention & control/transmission', 'Adult', 'Africa/epidemiology', '*Disease Outbreaks', 'Family', 'Female', 'HIV Infections/epidemiology/transmission', 'Humans', 'Male', 'Sexually Transmitted Diseases/complications', 'Social Conditions', 'Socioeconomic Factors', 'Transients and Migrants', 'Urbanization', '*Women', 'Zimbabwe/epidemiology']","['PIP: 071803', 'POP: 00222310']","['The pattern of promiscuous sexual activity that places men and women in', 'sub-Saharan Africa at risk of human immunodeficiency virus (HIV) infection must', 'be understood as a result of historically produced social conditions if such', 'behavior is to be modified. In Zimbabwe, patriarchy and colonialism appear to be', 'the most significant social legacies responsible for the family structure and', 'sexual behavior associated with HIV infection. The social context of acquired', 'immunodeficiency syndrome (AIDS) in Zimbabwe features a migrant labor system,', 'rapid urbanization, constant war with high level of military mobilization,', 'landlessness, poverty, and the subordination of women. As deteriorating economic', 'conditions have forced family separation, sexual relationships outside of', 'marriage have become the norm for African men in urban areas. In many cases, town', 'sexual liaisons come to supersede the rural wife, leading to divorce or a', 'reduction in remittances. For women in Zimbabwe, sexual relationships comprise', 'the only means of social and economic survival, and the traditional subordination', 'of African women places them at a disadvantage in terms of their ability to', 'reduce their risk of HIV infection. Women who live apart or are divorced from', 'their husbands may supplement their low incomes through prostitution. In most', 'cases, however, it is the husband who introduce HIV infection into the family', 'unit. Since social conditions have made a single lifetime sexual partner', 'unrealistic AIDS prevention efforts should focus on condom-use promotion,', 'including empowering female prostitutes to dictate the conditions under which sex', 'will occur.']",['eng'],['PIP'],"['*Acquired Immunodeficiency Syndrome--prevention and control', '*Acquired Immunodeficiency Syndrome--transmission', '*Acquired Immunodeficiency Syndrome--women', 'Africa', 'Africa South Of The Sahara', 'Barrier Methods', 'Behavior', 'Biology', '*Commerce', '*Condom', 'Contraception', 'Contraceptive Methods', '*Culture', 'Demographic Factors', 'Developing Countries', 'Diseases', 'Eastern Africa', 'Economic Factors', 'Education', '*Educational Activities', 'English Speaking Africa', '*Epidemiologic Methods', 'Family And Household', '*Family Characteristics', 'Family Planning', '*Family Relationships', 'Geographic Factors', '*Hiv Infections--prevention and control', '*Hiv Infections--transmission', 'Human Resources', 'Infections', 'Labor Force', '*Labor Migration', 'Macroeconomic Factors', '*Migrant Workers--men', 'Migration', '*Multiple Partners', '*Political Factors', 'Population', 'Population Dynamics', '*Poverty', '*Prostitutes--determinants', 'Reproductive Tract Infections', 'Research Methodology', '*Risk Factors', '*Sex Behavior', 'Sexual Partners', '*Sexually Transmitted Diseases', '*Socioeconomic Factors', 'Spatial Distribution', 'Urban Spatial Distribution', '*Urbanization', 'Viral Diseases', ""*Women's Status"", 'Zimbabwe']","['PIP: TJ: INTERNATIONAL JOURNAL OF HEALTH SERVICES; PLANNING, ADMINISTRATION,', 'EVALUATION.']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Int J Health Serv. 1991;21(1):143-56. doi: 10.2190/N0NJ-FKXB-CT25-PA09.,,,,['10.2190/N0NJ-FKXB-CT25-PA09 [doi]'],,,,,,,,,,,
2002204,NLM,MEDLINE,19910415,20170214,0883-0738 (Print) 0883-0738 (Linking),6,1,1991 Jan,Academic underachievement in children with epilepsy.,65-72,"Academic achievement was studied in 78 children with epilepsy, ages 5 to 13 years, to determine how seizures, treatment of seizures, and sociocultural factors influence academic achievement. Cognitive abilities were assessed with either the McCarthy Scales of Children's Abilities or the Wechsler Intelligence Scale for Children--Revised. Achievement was measured with the Peabody Individual Achievement Tests. Achievement scores were corrected for cognitive ability (IQ), and underachievement was defined as achievement score 1/2 standard deviation or more below IQ. Information regarding seizure history (severity, duration) and treatment with anticonvulsant drugs was obtained. In addition, the family was extensively interviewed regarding the child's environment, behavior, and demographic background. The Home Observation for Measurement of the Environment (HOME) scale was completed on a home visit. Underachievement was frequent, ranging from 16% (Reading Recognition) to 50% (General Knowledge), but there was no relationship between severity or duration of seizure disorder or total exposure to anticonvulsant medications and achievement. Major determinants of achievement included subscales of the HOME scale, age (older children more likely to be underachieving), and parental education. An equal proportion of newly diagnosed and/or untreated subjects were underachieving compared to those with longstanding epilepsy and anticonvulsant drug treatment.","['Mitchell, W G', 'Chavez, J M', 'Lee, H', 'Guzman, B L']","['Mitchell WG', 'Chavez JM', 'Lee H', 'Guzman BL']","['Department of Pediatrics, Childrens Hospital of Los Angeles, CA 90054.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Child Neurol,Journal of child neurology,8606714,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Epilepsy/*psychology', 'Female', 'Humans', 'Male', 'Parent-Child Relations', 'Psychosocial Deprivation', 'Risk Factors', '*Social Environment', '*Underachievement', '*Wechsler Scales']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,J Child Neurol. 1991 Jan;6(1):65-72. doi: 10.1177/088307389100600114.,,,,['10.1177/088307389100600114 [doi]'],,,,,,,,,,,
1956905,NLM,MEDLINE,19911230,20051116,0361-7742 (Print) 0361-7742 (Linking),371,,1991,The institutionalization of operations research.,503-29,"When the conceptualization of OR is inappropriate, institutionalization will not take place. For this reason, the discussion here has focused as much on the pitfalls in OR design as on factors that facilitate institutionalization. Research that is inappropriately adapted to the societal or programmatic context will not be institutionalized, nor will OR lead to institutionalized research capabilities if theory is ignored or the research lacks credibility. The institutionalization of credible and scientifically sound OR requires well-trained social scientists who can carry out this task. Career opportunities must persist in OR so that well-trained scientists will find in an attractive and rewarding pursuit. Long-term projects facilitate institutionalization by providing a setting where work teams can be developed and career tracks defined. Academics and universities institutionalize OR by sponsoring training in applied research and developing high-level research leadership. For this reason, institutional linkages and mechanisms that nurture collaboration facilitate the institutionalization of OR. Finally, institutionalization of OR implies that research is being utilized for action by program management and the policy community. There is extensive literature on the determinants of research utilization, much of which is relevant to the question of how OR can be institutionalized.","['Phillips, J F', 'Simmons, R', 'Simmons, G']","['Phillips JF', 'Simmons R', 'Simmons G']","['Department of Population Planning and International Health, School of Public Health, University of Michigan.']",['eng'],"['Journal Article', 'Review']",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Academies and Institutes/*organization & administration/standards', 'Cultural Characteristics', 'Decision Making, Organizational', 'Diffusion of Innovation', 'Family Planning Services/*standards', 'Health Policy', 'Health Services Needs and Demand', 'Humans', 'Interinstitutional Relations', '*Operations Research', 'Organizational Innovation', 'Organizational Objectives', 'Reproducibility of Results', 'Research Design/standards']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1991;371:503-29.,,,68,,,,,,,,,,,,
1950176,NLM,MEDLINE,19911213,20190907,0303-8408 (Print) 0303-8408 (Linking),36,3,1991,"[Social status, health risk and sickness insurance: a comparative analysis between the FRD and the USA].",166-75,"Issues of unequal risk distribution among sickness funds are given increasing attention in the current discussions on the reform of the statutory health insurance system in Germany. This paper raises the question on the structural determinants of risk segregation and points towards the links between social stratification, health risk and insurance status. A model showing the links between basic structural determinants is presented. Using health survey data from Germany and the U.S. statistical analyses are conducted. The results support the model and indicate its applicability for both health care systems. The paper concludes by indicating the relevance of such findings for health policy and future research.","['Abel, T', 'Wysong, J']","['Abel T', 'Wysong J']","['Institut fur Medizinische Soziologie, Marburg.']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Switzerland,Soz Praventivmed,Sozial- und Praventivmedizin,7502479,IM,"['Adolescent', 'Adult', 'Aged', 'Confidence Intervals', 'Female', 'Germany', 'Health Policy', 'Health Services Research', 'Health Surveys', 'Humans', '*Insurance, Health/statistics & numerical data', 'Male', 'Middle Aged', 'Risk Factors', '*Social Class', 'United States']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Soz Praventivmed. 1991;36(3):166-75. doi: 10.1007/bf01352696.,,,,['10.1007/bf01352696 [doi]'],,"Sozialer Status, gesundheitliches Risiko und Krankenversicherung: Eine vergleichende Analyse der BRD und den USA.",,,,,,,,,
1950174,NLM,MEDLINE,19911213,20190907,0303-8408 (Print) 0303-8408 (Linking),36,3,1991,Socio-demographic determinants of stopping smoking from Italian population-based surveys.,154-8,"Frequency and determinants of smoking cessation were analysed using data from two Italian National Health Surveys, conducted in 1983 and 1986-87 on samples of 89,753 and 77,155 individuals respectively, randomly selected within strata of region of residence, size of the municipality and of the household, in order to be representative of the general Italian population. Overall stopping ratios or ""quit ratios"" (i.e., ratios between ex- and ever-smokers) were 20.5% for males and 9.0% for females in the 1983 survey, and rose to 23.2 and 11.9% respectively in 1986-87. With reference to age, stopping rates were slightly higher for females than for males below age 35, but considerably higher for males in each subsequent age group, particularly in middle age. Ratios were apparently higher for the most recent survey for both sexes and each subsequent age group. After standardisation for age, ""quit ratios"" in both sexes were directly related with education. Cessation of smoking was more common in northern (and richer) areas of the country, and positively associated with the prevalence of smoking-related chronic diseases. The major, and most discouraging, finding from these analyses is the absolute low rate of stopping in Italy as compared to northern America or northern Europe, although some positive tendency towards increasing cessation was evident between the early and the late 1980s. These tendencies, together with some recent drops in smoking prevalence in younger women, first observed after decades of increase, indicate a change at least in attitudes towards reporting smoking, and hence social acceptance of the habit.(ABSTRACT TRUNCATED AT 250 WORDS)","['La Vecchia, C', 'Negri, E', 'Pagano, R', 'Ferraroni, M']","['La Vecchia C', 'Negri E', 'Pagano R', 'Ferraroni M']","['Istituto di Richerche Farmacologiche, Mario Negri, Milano.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Soz Praventivmed,Sozial- und Praventivmedizin,7502479,IM,"['Adolescent', 'Adult', 'Aged', 'Demography', 'Educational Status', 'Female', '*Health Surveys', 'Humans', 'Italy', 'Male', 'Middle Aged', 'Population Surveillance', '*Smoking Cessation']",,,,,,,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Soz Praventivmed. 1991;36(3):154-8. doi: 10.1007/bf01352694.,,,,['10.1007/bf01352694 [doi]'],,,,,,,,,,,
