sentence_source,label,label_notes,sentence
12284119,1,a,"""The purpose of the paper is...to evaluate through quantitative analysis the extent to which various factors affect fertility in order to pinpoint the major ones that have led to the rapid decline of fertility. It has been demonstrated through analysis of a large quantity of data that family planning under the guidance of national population policies is the major cause for the decline of the fertility rate to the replacement level within the short span of a dozen years."""
17020784,0,a,"BACKGROUND: General practitioners (GPs) play a key role in identifying and managing patients with suicidal tendencies. Few studies, however, examine both GP and patient characteristics and GP practices associated with suicide assessment. This article aims to evaluate 1) GPs' success in early identification of suicidal ideation (SI) in patients starting antidepressant or anxiolytic treatment, and 2) patient- and GP-related factors associated with this success. METHODS: Survey of 144 GPs practising in southeastern France and of consecutive adults consulting them during June-October 2004 and prescribed antidepressant or anxiolytic treatment. Data were collected from GPs (consultation-questionnaires focusing on their prescription, diagnosis and detection of SI) and patients (self-administered questionnaires including the Hospital Anxiety and Depression scale and social and demographic characteristics). We used multilevel logistic regression to analyse factors associated with SI detection. RESULTS: GPs completed consultation-questionnaires for 713 patients, 405 of whom completed self-administered questionnaires. Eighty-nine patients (22%) reported SI; in 43 cases (48%) SI had not been detected by the GP. GPs detected SI more frequently when they had completed continuing medical education about depression, when patients had higher depressive symptom scores, and when consultations were relatively long. LIMITATIONS: Study limited to patients receiving initial prescriptions for antidepressants or anxiolytics. CONCLUSIONS: The percentage of undetected SI in this study population was high. Additional training of GPs increases the chances of detecting SI. Medical training and continuing medical education should include better instruction about SI risk factors and diagnosis, including non-major depressions, and stress that screening requires sufficient consultation time."
20841084,1,a,"The paper deals with the factors which affect contraceptive attitudes, behaviors, and the relationship between the two. The analysis is based upon original survey data from 2,446 women in Venezuela and related literature. The results suggest that both positive attitudes and contraceptive accessibility are major determinants of contraception but at the aggregate level neither has a decisive advantage over the other. The three best predictors of contraceptive use are: specific contraceptive attitudes, social support, and accessibility of contraceptives. Their impacts on behavior are direct and additive; however, their impacts vary significantly by education and number of living children. In general attitude change strategy is more effective with younger women while improving accessibility affects older women more often. Implications for policy and programs are presented."
4034814,1,a,"To measure the extent to which progress in psychotherapy can be predicted from the interpersonal styles of therapists and clients, 42 outpatients and their 11 therapists rated themselves and each other on Benjamin's Structural Analysis of Social Behavior (SASB) scales. In addition, therapists rated amount of client change and therapy success-failure, based on the outcome section of the Rogers and Dymond (1954) scale, and clients used the Strupp, Fox, and Lessler (1969) questionnaire to evaluate progress-to-date. Clients also completed the Hopkins Symptom Checklist (HSCL) at the start of therapy and after they had completed at least 6 treatment sessions. Canonical analyses indicated that when optimally weighted, SASB scores can predict at least 65% of the reported progress variance, lending credence to claims that ""reflexive social behavior"" and ""the relationship"" are important determinants of certain aspects of therapeutic outcome. Consistent with previous literature, clients reported more satisfaction with therapy when they perceived their therapists as ""warm and freeing,"" but such perceptions were not systematically related to reported symptom reduction. Unfavorable self-concept ratings by therapists and therapist ratings of clients as ""helping or protecting,"" which suggest role reversal, were negatively associated with symptom amelioration."
30937463,0,a,"OBJECTIVES: The aims of this study were to implement a novel, community-based physical activity (PA) intervention in a Swiss town with active participation of elderly participants and to evaluate its effectiveness, feasibility, acceptability and sustainability. METHODS: The CAPACITY intervention combined important determinants of PA, used smartphone apps to provide feedback/facilitate interaction, and followed a citizen science approach to enable participants to organize walking groups. We targeted persons > 60 years from Wetzikon. Assessments took place at baseline and after 6 months, during this intervention period, and 11 months after step-wise withdrawal of the study team. RESULTS: Twenty-nine persons were included in the study; 25 conducted 6-month follow-up. They had a significant increase in moderate-to-vigorous PA (p = 0.046) but not in daily steps (p = 0.331). After the intervention period, key participants took over organization, independently organized monthly get-togethers, added new walking routes and continuously recruit new participants. Eleven months after withdrawal of the study team, 61 people regularly walk in groups together. CONCLUSIONS: The novel CAPACITY intervention was successfully implemented, transferred to participants and is now self-sustainable for almost 1 year in the community."
3232579,1,a,"Self-esteem, maternal employment, and work-family plans are examined in relation to sex role orientations of late adolescents. Data are analyzed from questionnaires administered to 387 males and females. It was found that future work-family plans were closely tied to sex role orientations of adolescents of both sexes. However, self-esteem, evaluation of the relative difficulty of male-female sex roles, and projected childlessness were salient to sex role attitudes of females but not of males. Positive evaluations of self were related to non-traditional sex role orientations among females. Maternal employment differentially affected male and female children. Sons of women in high-status occupations were reluctant to get involved in a two-career family with children. Mothers' occupational status had little influence on the plans or sex role attitudes of daughters. The results indicate that future research should investigate whether maternal employment in high-status occupations, while providing a wider range of acceptable models for girls, may serve as a negative model for boys."
21316832,0,a,"Health disparities are, to a large extent, the result of socio-economic factors that cannot be entirely mitigated through the health care system. While an array of social services are thought to be necessary to address the social determinants of health, budget constraints, particularly in difficult economic times, limit the availability of such services. It is therefore necessary to prioritize interventions through some fair process. While it might be appropriate to engage in public deliberation to set priorities, doing so requires that the public accept such a deliberative process and appreciate the social determinants of health. We therefore analyzed the results of a study in which groups deliberated to prioritize socio-economic interventions to examine whether these two requirements can possibly be met and to explore the basis for their priorities. A total of 431 residents of Washington, D.C. with incomes under 200% of the federal poverty threshold participated in 43 groups to engage in a hypothetical exercise to prioritize interventions designed to ameliorate the social determinants of health within the constraints of a limited budget. Findings from pre- and post-exercise questionnaires demonstrate that the priority setting exercise was perceived as a fair deliberative process, and that following the deliberation, participants became more likely to agree that a broad number of determinants contribute to their health. Qualitative analysis of the group discussions indicate that participants prioritized interventions that would provide for basic necessities and improve community conditions, while at the same time addressing more macro-structural factors such as homelessness and unemployment. We conclude that engaging small groups in deliberation about ways to address the social determinants of health can both change participant attitudes and yield informed priorities that might guide public policy aimed at most affordably reducing health disparities."
17706756,0,a,"OBJECTIVE: Smoking increases the risk for influenza and pneumococcal disease, but vaccination uptake is lower among smokers than non-smokers. We therefore aimed to determine reasons for not complying with vaccination among smokers and non-smokers. METHOD: In 2005 a self-administered questionnaire was sent to a random sample of Dutch patients (n=4,000) assessing medical, social and behavioural determinants. Independent factors associated with not complying with influenza and pneumococcal vaccination among smokers and non-smokers were assessed by multivariate logistic regression analysis. RESULTS: In all, 1,725 of 4,000 patients returned the questionnaire (response rate: 43%), 426 (25%) were smokers. Among smokers self-reported flu vaccine uptake was 42% and among non-smokers 52% among both only 0,2% received both vaccines. Most important predictors of not complying in smokers and non-smokers were patient's beliefs not to be susceptible to disease (odds ratio (OR) 4.0, 95% confidence interval (CI): 2.0, 8.0 and OR 2.8, CI: 2.0, 3.9), finding it difficult to go to the GP for vaccination (OR 2.5, CI: 1.3, 4.8 and OR 1.8, CI: 1.3, 2.6) and being against vaccination (OR 2.4 CI: 1.3, 4.4 and OR 1.8, CI: 1.3, 2.6), respectively. CONCLUSION: There are no substantial differences in determinants associated with not complying with influenza and pneumococcal vaccination between smokers and non-smokers but there is a trend towards stronger associations in smokers."
10287174,1,a,"Health policy can be described as policy directed at the determinants of health, i.e. biological and environmental factors, lifestyle and the health care system. This type of policy now has become a policy objective in an increasing number of countries. In this article mental health is placed in the broad context of this policy. The central question is: can the mental health field grasp the opportunity of a growing interest in prevention and health promotion in general, as major objectives of health policy? Or will it stay more or less isolated from the mainstream of current developments? Answering this question means looking at the conditions of health policy. For health policy it is required that a definition be given of health problems and ""causing"" conditions. There should further be available intervention possibilities of a preventive and intersectoral character and also preventive strategies. It is stated that there is enough standardized information on mental health problems and experience with community-based research to let mental health participate in drawing up a community diagnosis. It also appears possible to construct an ecological health status model for mental health. Research on the factors in this model shows a shift in focus from risk populations to risk situations, e.g. unemployment, industrial disability, divorce and isolation. Further it is recognized that the search for causal factors is substituted by that for precipitating factors. Social-demographic factors, taken alone, are not precipitating factors. What matters is the combination of an underdeveloped coping mechanism, little social support, and prolonged stressful conditions or sudden stressful events.(ABSTRACT TRUNCATED AT 250 WORDS)"
19628202,0,a,"This study provided controlled observations of a potential mechanism for the determination of the repetitive, aberrant perceptions or interpretations of everyday events that figure prominently in a range of psychological disorders: the adventitious reinforcement of acts of cognition by the actual consequences of concurrent motor acts. Adults made a series of two-choice brightness discriminations; on 60% of trials, choosing the brighter stimulus produced a ""correct"" signal while errors produced an aversive sound. On 40% of trials, the choice stimuli did not in fact differ in brightness; the consequences of responding on these ""identical stimuli"" trials differed across blocks of trials. Thus, on these trials perceptual judgments were directly followed by events that they did not produce. When all choices on identical stimuli trials were punished with the ""error"" sound, subjects showed little preference for the left-side or right-side identical stimuli, but when all choices of identical stimuli were reinforced with the ""correct"" light, individual preferences for the left-side or the right-side stimuli substantially increased. As the consequences of responding on identical stimuli trials were independent of the stimuli chosen, these findings provide evidence for superstitious perception, the reinforcement of perceptual acts by events that do not depend upon their occurrence."
