PMID,TI,AB,JT,DP,PL,YY,year
4001231,[Suicidal tendencies in schizophrenic patients hospitalized for the first time].,"180 (15%) patients from 1208 first-hospitalized schizophrenic patients had suicidal tendencies. Our findings show that the suicidal tendencies of schizophrenic patients have their own features. These conclusions can be supported by the differences between the determinants of the suicidal tendencies of schizophrenic and non-schizophrenic population; such different determinants are: sex, age, family and suicidal method. Suicidal tendencies are more frequent among patients without formal thought disturbances. We explain this fact with an ""incoherence of decision processes"". The features of the suicidal tendencies of schizophrenic patients are based on the grounds of psychosis own dynamic.","Psychiatrie, Neurologie, und medizinische Psychologie",1985 Apr,Germany,1985,80
3538185,Social and biocultural determinants of food selection.,"Health professionals concerned with improving the nutritional status of populations are facing numerous problems ranging from emaciation to overnutrition. This review article addresses the complexity, the relative significance and the interaction of factors leading to the nutritional profile of specific groups and individuals. When availability of food is threatened, the programs designed to reduce the incidence of malnutrition must balance the food supply with energy resources and population needs as well as encourage economic improvement of food distribution systems. For those persons having access to an abundant food supply, social forces and technological factors may affect food patterns, resulting in unbalanced diets associated with chronic diseases. Misinterpretation of reliable scientific findings is a major cause of abnormal nutrition behaviour. Overreaction to health messages may precipitate such conditions as anorexia nervosa or nutrient toxicity. Adverse food reactions, real or imagined, lead to restrictions in food selection. Excessive austerity in food use negates the pleasure of eating, a useful mechanism in food choice ensuring food diversity.",Progress in food & nutrition science,1986,England,1986,80
7376236,Attitudinal and nonattitudinal determinants of contraception: a cross-cultural study.,"Survey data from women in pregnancy risk in Venezuela and Kenya are used to examine the determinants of contraceptive intention, use, and the intention/use consistency. The five ranking determinants of contraceptive use are: intention to contracept, social support, accessibility, conjugal communication, and desire for additional children. All five determinants have direct and additive effects on contraception, but their relative impacts vary significantly between the two cultures. Contraceptive intention and use are highly consistent, while level of consistency varies significantly between the two samples and within each by various combinations of ranking variables and by parity. Major research and policy implications of the results are reviewed.",Studies in family planning,1980 Feb,United States,1980,80
6544459,Dental visits and self-assessment of dental health status in the adult Danish population.,"The purpose of the present investigation was to study dental visits and self-assessment of dental health status in the adult Danish population. The study group comprised 5151 persons (86.7% of the original sample) who were interviewed in order to determine living conditions. Questions on dental visits and self-assessment of dental health status were included. 61% of the adult Danish population in the age group 20-69 had regular dental visits. Dental visit habits varied according to urbanization, age, sex and social group. Among well off persons 85% had regular dental visits as opposed to only 40% in the disadvantaged social group. Well off persons and persons with regular dental visits more often claimed good dental health than persons in the disadvantaged social group and among the non-regular visitors. In the higher social group 13% reported to have removable dentures in contrast to 51% in the disadvantaged social group. To isolate determinants of dental visits a multiple dummy-regression analysis was performed. Nearly 50% of the variation in dental visit habits was explained by the variables: urbanization, sex, age, perceived dental health status, education, work in exhausting jobs, income, social background and perceived psychological problems. Efforts to bring a greater part of the adult population in Denmark in contact with the dental health service system should consider these findings.",Scandinavian journal of primary health care,1984 Nov,United States,1984,80
3765864,[Determinants in decisions for the utilization of an ambulatory medical service].,"The purpose of this research is to know more about the factors determining the decision to see a doctor. Especially the influence of characteristics of the delivery system (e.g. differences between urban and rural regions) and characteristics of users (e.g. social class) are investigated. In this article the conceptual frame of the study is described. The model is based on assumptions of the action-decision-theory. It structures the process of decision and action into four phases: the first two, perception and interpretation, are summarized as ""process of attention""; the subsequent ones, coping and evaluation, as ""process of acting"". The model describes the social system (the total of demographic, socio-structural and socio-economic variables) and the memory system (contained within the individual life history) as mediating factors influencing the decision to act.",Sozial- und Praventivmedizin,1986,Switzerland,1986,80
3992291,Socialization and interpersonal environment in nurses' affective reactions to work.,"The dominant explanation of nurses' affective experience in work is the conflict between the beliefs and expectations developed during the formal training process (education) and the role definitions in the hospital work setting. Specifically, it is generally proposed that baccalaureate trained nurses experience this person-role conflict more than the associate or diploma trained nurse because baccalaureate training instills more beliefs/expectations that conflict with the hospital nursing role. However, research has not sufficiently compared the effect of 'socialization' variables like education with other variables found to affect the work experience. This study uses path analysis to explore the relative effects of education, length of experience and the measured interpersonal work environment across types of person-role conflicts, on overall job satisfaction and on propensity to leave. The results show that the interpersonal factors are the paramount determinants of the measured person-role conflicts and, as well, have a greater effect than education and experience on job satisfaction. Also, education and length of experience have greater direct than indirect effects on propensity to leave, indicating that their effects are not via causality of job-related stress. Implications for programs designed to improve the nurse's work experience and affects are discussed.",Social science & medicine (1982),1985,England,1985,80
2503621,Health economics in developing countries.,"The interpretation of health economics chosen for this paper is broad. It includes the relation between economic and other factors in health development. This interpretation has been chosen lest the acceptance of a disciplinary approach in the commissioning of papers should have the unintended effect of excluding some key areas of research which require the consideration of crucial interrelationships between disciplines. The only justification for covering this area in a paper on economics rather than, for example, epidemiology is that increasingly there is and indeed has to be a heavy focus on costs in considering alternative paths to health development. The word 'research' is loosely interpreted and not restricted to the type of activity which could lead to the award of a PhD. The compilation of experience in many areas is, in the view of the author, a priority need, to plan where further research and experiment is needed.",The Journal of tropical medicine and hygiene,1989 Aug,England,1989,80
2773911,Wartime determinants of arteriographically confirmed coronary artery disease in Beirut.,"This study investigates the association of wartime stress variables and coronary artery disease as determined by coronary angiography in Lebanon in 1986, a country with an ongoing civil war for over a decade. A total of 127 patients who underwent coronary angiography at the American University of Beirut Medical Center were individually matched on age and sex with visitor controls free from any evidence of clinical coronary artery disease. Arteriographic cases (greater than or equal to 70% maximal stenosis) were compared with two control groups: arteriographic controls (entirely normal coronaries) and visitor controls. Findings suggest that there is a relation between exposure to both acute and chronic war events and coronary artery disease in this patient population. The reporting of exposure to acute war events was significantly higher in cases compared with both visitor controls (odds ratio (OR) = 2.4, 95% confidence interval (Cl) 1.17-4.90) and arteriographic controls (OR = 2.8, 95% Cl 0.93-8.47). Crossing the ""green-lines"" that separate two belligerent sides, considered as an attribute of war-related chronic stress, was more frequent in cases compared with visitor controls (OR = 3.25, 95% Cl 1.54-6.89) and arteriographic controls (OR = 5.38, 95% Cl 1.65-17.6). The relation observed between wartime stress and coronary artery disease could not be explained by possible overreporting of stressful events in patients with suspected coronary artery disease or by an increase in clinical awareness for the disease for those under continuous stress. Adjusting for the effect of the well-established coronary artery disease risk factors did not alter the above findings.",American journal of epidemiology,1989 Oct,United States,1989,80
6723941,Repeat abortion: is it a problem?,"As the number of Canadian women who have had induced abortions increases with each succeeding year, the number at risk--and the actual incidence--of repeat abortion also increases. Some researchers have argued that women who have more than one induced abortion are less well adjusted, others that they are less willing to use contraceptives, perhaps because of anxiety about sexuality. Still others have suggested that repeat abortion is unrelated to the psychology or attitudes of individual women, but rather is an inevitable result of imperfect contraceptives, imperfect contraceptive practice and the availability of legal abortion for the termination of unwanted pregnancies. A group of 580 women seeking abortions were interviewed at the Montreal General Hospital and given a number of psychological tests. About one in five of these women were having repeat abortions. The women having repeat abortions were older, less likely to be married and more tolerant of legal abortion than were women having their first abortions. They also had intercourse more frequently than the first-abortion patients. Women obtaining a repeat abortion were slightly more likely to have been using contraceptives at the time they became pregnant, but they did not differ from first-abortion patients in the types of methods that they used. On no other social or demographic characteristics, measures of psychological adjustment or attitudes about sexuality were there any important differences between the groups. A more complex statistical analysis reveals that the two most important factors differentiating first-abortion and repeat-abortion patients are age and coital frequency--both of which are variables that reflect added exposure to the risk of unintended pregnancy.(ABSTRACT TRUNCATED AT 250 WORDS)",Family planning perspectives,1984 Mar-Apr,United States,1984,80
7259481,[Determinants of success in the treatment of smokers with the Hermano therapy (author's transl)].,"In 1973, 532 persons desiring to quit smoking and seeking the Hermano therapy of chirothesia were questioned prior to the ritual treatment session. Typical smoking behavior, social background, and personality tests were documented. At intervals of 4 months, 1 year, and 5 years after treatment the group was examined with a follow-up questionnaire. In two earlier studies Gmur evaluated the results of this treatment after 1 year and analyzed in detail the various factors which influence these results. The present paper investigates the determinations for success with a follow-up study 5 years after treatment. The analysis show that the treatment was seldom successful for persons with an accentuated addiction-like smoking behavior. There were no findings proving a correlation between personality pattern and/or sociodemographic data and treatment success. No criteria was found to suggest indications for the successful application of the Hermano therapy.",Archiv fur Psychiatrie und Nervenkrankheiten,1981,Germany,1981,80
3297402,Environmental and psychosocial determinants of sudden death.,"The risk factors for sudden coronary heart disease (CHD) death have been well described. Sudden CHD deaths should be classified as those occurring in individuals with and those in individuals without a prior history of clinical heart disease. The extent of coronary artery disease, left ventricular dysfunction, and cardiac arrhythmias are the primary pathophysiologic determinants of ventricular fibrillation and sudden death. Psychosocial factors influence the threshold of response to the numerous physical and social environmental stimuli that can precipitate sudden death. The degree of pathology is probably inversely related to the intensity of the stimuli necessary to precipitate sudden CHD death. In the presence of extensive disease the precipitants of sudden deaths are probably ubiquitous in the environment and unlikely to be prevented. Thus, prevention of the basic cardiac disease is of higher priority.",Circulation,1987 Jul,United States,1987,80
3399999,Temporal and social aspects of gonorrhea transmission: the force of infectivity.,"Theoretical consideration of the epidemiology of sexually transmitted diseases (STD) suggests that the key determinants of transmission dynamics are the duration of infectiousness and the extent to which subgroups in the population interact sexually. We used two empirical correlates to represent these concepts: (1) the force of infectivity, calculated by summing all the days of potential infectivity (the time between last sexual exposure and treatment of the contact) generated by a given case, and then summing the days for all cases within a given subgroup; (2) self-selection, representing the observed probability that members of a given subgroup select sexual partners from within their own group. Using data gathered in Colorado Springs, Colorado, we estimated that a single group i.e., black, male, heterosexual, military personnel residing in the core areas, generated 27% of the force of infectivity. Subgroups that select greater than 50% of their sexual partners from outside their sociodemographic boundaries generated a rate for the force of infectivity that was 4.5 times higher than the rate for self-selectors. These findings confirm the core group theory and suggest strategies for control of STD.",Sexually transmitted diseases,1988 Apr-Jun,United States,1988,80
6706793,Ecological factors predicting adolescent contraceptive use: implications for intervention.,"Questionnaires addressing areas expected to relate to contraceptive use were completed by 230 female adolescents. Contraceptive use among the 130 sexually active subjects were predicted by a model composed of 12 scales assessing social permissiveness, costs and benefits of contraception, parent communication, boyfriend support, sex education and knowledge, attitudes about pregnancy and contraception, and access to contraception services. Scales from the predictive model which raise ideas for potential intervention strategies assessed parent communication, boyfriend support, and perceived costs and benefits related to contraception. Since there has been public concern that intervention programs for enhancing adolescent contraceptive use might also stimulate sexual activity, correlations were computed between the predictive scales and the measure of sexual experience among all 230 subjects. These data indicated that positive parent communication about sexuality and a perception of high benefits and low costs associated with contraceptive use were not positively correlated with sexual experience. Implications for the prevention of adolescent pregnancy are discussed with an emphasis on designing innovative sex education, improving parent-child communication, resolving conflicts in contraceptive decisionmaking, and supporting the role of boyfriends in contraceptive use.",Journal of adolescent health care : official publication of the Society for Adolescent Medicine,1984 Apr,United States,1984,80
10296108,AIDS: is health education the answer?,"In the absence of a vaccine or effective treatment, prevention of infection with the human immunodeficiency virus (HIV) is presently the only feasible option for the control of AIDS. Most transmission is related to high risk behaviours, and attempts to change these behaviours are key objectives of many AIDS Control Programmes. Health Education, or Information, Education and Communication (IEC) strategies have been developed to achieve these objectives. Yet few evaluations of health education programmes have been carried out, and the intimate relationship between AIDS and other sexually transmitted diseases is often ignored. Behaviour has a multitude of determinants, and consequently no simple approach focusing on one aspect of behaviour can be expected to be successful. Not only does knowledge need to be imparted, but attitudes, beliefs, social- and peer-group norms need to be addressed. The development of IEC programmes is hampered by the specific routes of transmission of the HIV, involving sensitive areas of human behaviour, and by a lack of knowledge about these behaviours. Nevertheless, a number of seemingly successful programmes have been carried out. Active participation of the target groups appears to be a key factor in success. Although health education makes intuitive sense, rigorous documentation and strict evaluation is necessary to provide its justification and to maximize the potential of this strategy.",Health policy and planning,1989,England,1989,80
3266745,"Exercise training, cardiac rehabilitation and return to work in patients with coronary artery disease.","Few studies have analysed the influence of exercise training or cardiac rehabilitation on return to work in patients with coronary artery disease. In a consecutive series of 41 men less than 60 years of age admitted for acute myocardial infarction, 19 participated in a comprehensive rehabilitation programme focused on physical training, and 22 received standard care. The baseline clinical and social variables of the two groups were comparable except for left ventricular ejection fraction which was significantly lower in the intervention group. Work resumption was not significantly different between the two groups (9/19, 47% in the intervention group vs 17/22, 77% in the control group); after three years, 42% and 73%, respectively, were still employed. These results are in keeping with that of most controlled studies of cardiac rehabilitation after myocardial infarction or coronary artery surgery, which fail to demonstrate a significant improvement in work resumption. Psychosocial factors are probably more important determinants of work resumption than is exercise training.",European heart journal,1988 Nov,England,1988,80
3446306,Ecological structure and the distribution of schizophrenia and affective psychoses in Nottingham.,"The 800 census enumeration districts of Nottingham were used as a basis for the production of 12 distinct 'clusters' or neighbourhood types. Plotting the place of residence of the 68 patients with 'certain' or 'very likely' diagnoses of ICD-9 schizophrenia, identified in the World Health Organization Study of Determinants of Outcome of Severe Mental Disorders, showed the expected concentration in central areas of low social status. A more varied distribution was found for 132 patients with a case-register diagnosis of affective psychosis, contacting the psychiatric services for the first time during the same two-year period as the schizophrenic patients. Some of the highest rates for affective psychosis were found in new housing estates of middle and low status at some distance from the town centre.",The British journal of psychiatry : the journal of mental science,1987 Nov,England,1987,80
