PMID,TI,AB,JT,DP,PL,YY,year
26472402,Vascular risk factors and rhegmatogenous retinal detachment: a follow-up of a national cohort of Swedish men.,"BACKGROUND: We aimed to investigate the role of vascular risk factors in the genesis of rhegmatogenous retinal detachment (RRD) using data from a large cohort of Swedish conscripts. METHODS: We used data from a nationwide cohort of 49 321 Swedish men born during 1949-1951, conscripted for compulsory military service in 1969-1970 with nearly complete follow-up to 2009. Information on surgically treated RRD between 1973 and 2009 was collected from the National Patient Register. We fitted Cox regression models stratified on myopia degree and including blood pressure levels, body mass index and cigarette smoking. Population attributable fractions of RRD were estimated through maximum likelihood methods. RESULTS: We observed 262 cases of RRD in 1 725 770 person-years. At multivariate analysis, the number of cigarettes per day showed a reverse association with the risk of RRD (p for trend 0.01). Conscripts with obesity presented a higher risk compared with normal subjects (adjusted HR 2.51, 95% CI 1.02 to 6.13). We found weak evidence of an association between blood pressure and RRD (HR for men with hypertension compared with normotension 1.41, 95% CI 0.93 to 2.13). All the observed associations were stronger when the analysis was restricted to non-myopic conscripts. In particular, the HR for hypertension was 2.33 (95% CI 1.30 to 4.19) compared with normotension. If this association is causal, we estimated that 42.0% of RRD cases (95% CI 11.5% to 62.0%) occurring among non-myopics are attributable to elevated blood pressure. CONCLUSIONS: Vascular risk factors may be important determinants of RRD, particularly among non-myopics. Further investigations on the role of hypertension and obesity are needed.",The British journal of ophthalmology,2016 Jul,England,2016,10
32047718,Application of Twitter and web news mining in infectious disease surveillance systems and prospects for public health.,"Aims: With the advancements of communication technology and growing access to social networks, these networks now play an important role in the dissemination of information and news without going through the time-consuming channels of official news networks. Analysis of social networking data is a new, interesting branch of text mining science. This study aimed to develop a text mining technique for extracting information about infectious diseases from tweets and news on social media. Methods: A method called ""Fuzzy Algorithm for Extraction, Monitoring, and Classification of Infectious Diseases"" (FAEMC-ID) was developed by the use of fuzzy modeling of the Takagi-Sugeno-Kang type. In addition to the real-time classification, the method is able to update its vocabulary for new keywords and visualize the classified data on the world map to mark the high risk areas. Results: As an example, the monitoring was performed for measles-related news items over a 183-hour period from 01/03/2019 (01:00 am) to 08/03/2019 (12:00 pm), which were related to 2,870 tweets from 2,556 users. This monitoring showed that the number of tweets posted from each region ranged from 1 to 47, with the highest number, 47 tweets, belonging to Canada. The origins of most measles-related news were in the Americas and Europe, and they were mostly from the United States and Canada. Conclusion: The performance analysis of the developed method in comparison with other algorithms in the literature demonstrated the excellent precision of the method with a recall ratio of 88.41% and the high inter-correlation of data in each class. The proposed algorithm can also be used in the development of more effective monitoring and tracking systems for other human and even animal health hazards.",GMS hygiene and infection control,2019,Germany,2019,10
28377367,Gender-Specific Determinants and Patterns of Online Health Information Seeking: Results From a Representative German Health Survey.,"BACKGROUND: Online health information-seeking behavior (OHISB) is currently a widespread and common behavior that has been described as an important prerequisite of empowerment and health literacy. Although demographic factors such as socioeconomic status (SES), age, and gender have been identified as important determinants of OHISB, research is limited regarding the gender-specific motivational determinants of OHISB and differences between women and men in the use of online resources for health information purposes. OBJECTIVE: The aim of this study was to identify gender-specific determinants and patterns of OHISB by analyzing data from a representative German sample of adults (N=1728) with special attention to access and frequency of use as well as topics and sources of OHISB. METHODS: We employed a 2-step analysis, that is, after exploring differences between users and nonusers of online health information using logistic regression models, we highlighted gender-specific determinants of the frequency of OHISB by applying zero-truncated negative binomial models. RESULTS: Age (odds ratio, OR for females=0.97, 95% CI 0.96-0.99) and degree of satisfaction with one's general practitioner (GP) (OR for males=0.73, 95% CI 0.57-0.92) were gender-specific determinants of access to OHISB. Regarding the frequency of OHISB, daily Internet use (incidence rate ratio, IRR=1.67, 95% CI 1.19-2.33) and a strong interest in health topics (IRR=1.45, 95% CI 1.19-1.77) were revealed to be more important predictors than SES (IRR for high SES=1.25, 95% CI 0.91-1.73). CONCLUSIONS: Users indicate that the Internet seems to be capable of providing a valuable source of informational support and patient empowerment. Increasing the potential value of the Internet as a source for health literacy and patient empowerment requires need-oriented and gender-specific health communication efforts, media, and information strategies.",Journal of medical Internet research,2017 Apr 4,Canada,2017,10
29922203,Maternal Burnout Syndrome: Contextual and Psychological Associated Factors.,"Background: Becoming a parent is one of the most significant experiences in a woman's life. Including substantial and long-lasting mental, social, and physical charge, the parenting experience may also be a potentially stressful and overwhelming task. Since the eighties, the notion of parental burnout syndrome has gained increasing attention, but its contextual and psychological factors need to be better identified. Aims: To investigate a large array of contextual and psychological factors associated with maternal burnout syndrome in a French community-based population in order to contribute to better operationalize the notion of parental burnout and to explore its determinants. Method: A total of 304 French-speaking mothers (mean age = 34.8 years, SD = 6.72) completed a set of questionnaires including a sociodemographic form (in order to gather general information about the mothers, their spouses, and children living at home). The Perceived Stress Scale, the Maslach Burnout Inventory adapted to parents (MBI-parental), the Hospital Anxiety and Depression Scale, the Parental Stress Index-Short Form and the Ways of Coping Checklist were used in this study. Results: Multivariate linear regression analyses revealed that scores on the MBI-parental version were strongly and positively associated with depressive and anxiety symptoms, as well as with perceived stress related to parenthood and parenting stress levels. Moreover, using the task-oriented coping style in parenthood was strongly and positively associated with personal accomplishment. Conversely, some sociodemographic characteristics were found to be negatively associated with maternal burnout: being employed, working full time and being a mother living without a coparent. Conclusion: The construct of maternal burnout syndrome seems to be linked to a conjunction of psychological and contextual factors associated with maternal exhaustion. The implication of the results for prevention and intervention strategies are discussed.",Frontiers in psychology,2018,Switzerland,2018,10
30449156,Low income as a determinant of exercise capacity in COPD.,"Exercise capacity (EC) is a critical outcome in chronic obstructive lung disease (chronic obstructive pulmonary disease (COPD)). It measures the impact of the disease and the effect of specific interventions like pulmonary rehabilitation (PR). EC determines COPD prognosis and is associated with health-care utilization and quality of life. Field walking tests and cardiopulmonary exercise test (CPET) are two ways to measure EC. The 6-minute walking test (6MWT) is the commonest and easiest field test. CPET has the advantage of assessing maximal aerobic capacity. Determinants of EC include age, gender, breathlessness, and lung function. Previous research suggests that socioeconomic status (SES), a meaningful factor in COPD, may also be associated with EC. However, those findings have not been replicated. We aimed to determine whether SES is an independent factor associated with EC in COPD. For this analysis, we used the National Emphysema Treatment Trial (NETT) database. NETT was a multicenter clinical trial where severe COPD patients were randomized to lung volume reduction surgery or medical therapy. Measures used were taken at baseline, postrehabilitation. Patients self-reported their income and were divided in two groups whether it was less or above US$30,000. Patients with a lower income had worse results in 6MWT ( p < 0.0001). We found an independent association between income and the 6MWT in patients with severe COPD after adjusting for age, gender, lung function, dyspnea, and living conditions ( p < 0.0007). One previous publication stated the relationship between income and EC. Our research confirms and extends previous publications associating EC with income by studying a large and well characterized cohort of severe COPD patients, also addressing EC by two different methods (maximal watts and 6MWT). Our results highlight the importance of addressing social determinants of health such as income when assessing COPD patients.",Chronic respiratory disease,2019 Jan-Dec,England,2019,10
26143533,Diabetes among refugee populations: what newly arriving refugees can learn from resettled Cambodians.,"A growing body of literature suggests that cardiometabolic disease generally and type 2 diabetes specifically are problems among refugee groups. This paper reviews rates of cardiometabolic disease and type 2 diabetes among refugees and highlights their unique risk factors including history of malnutrition, psychiatric disorders, psychiatric medications, lifestyle changes toward urbanization and industrialization, social isolation, and a poor profile on the social determinants of health. Promising interventions are presented for preventing and treating diabetes in these groups. Such interventions emphasize well-coordinated medical and mental health care delivered by cross-cultural and multidisciplinary teams including community health workers that are well integrated into the community. Finally, recommendations for service, policy, and research are made. The authors draw on local data and clinical experience of our collective work with Cambodian American refugees whose 30-year trajectory illustrates the consequences of ignoring diabetes and its risk factors in more recent, and soon to be arriving, refugee cohorts.",Current diabetes reports,2015 Aug,United States,2015,10
29200892,Trends and drivers of skilled birth attendant use in Nigeria (1990-2013): policy implications for child and maternal health.,"Introduction: While Nigeria accounts for only 2% of the world population, it regrettably shares 14% of global maternal death burden. Whether its reported increase in antenatal care utilization is accompanied by increased use of skilled birth attendants (SBAs) is not known. This study assessed trends in utilization of SBAs in Nigeria between 1990 and 2013 and identified its determinants. Methods: Data from four consecutive Nigerian Demographic and Health Survey reports between 1990 and 2013 were pooled. We used basic descriptive statistics, test of association, and logistic regression to assess the prevalence, relative change, and determinants of SBA use at 5% significance level. Sample weights were applied, and adjustment was made for survey design and sampling errors. Results: Nearly half (46.7%) of the respondents were aged 25-34 years, while half (50.3%) of the respondents had no formal education. The prevalence of SBA use increased only marginally across the years and characteristics studied, from 32.4% in 1990 to 38.5% in 2013, an insignificant 6% increase. Educated women used SBA more than women with no education (92.4% vs 13.1%), and their odds ratio of using SBA were thrice that of uneducated women (odds ratio =3.09, 95% confidence interval =2.17-4.38). Women involved in decisions regarding their use of health facility were 12% more likely to use SBAs than others who do not. Educational attainment, religion, tribe, rural/urban residence, and zone of residence were significant to the use of SBA. Conclusion: The use of SBA was very low throughout the study period, barely at one third usage with insignificant changes over the studied period. Women empowerment, including decision-making power and residence, were the strongest determinants of SBA use. To overturn poor child and maternal health outcomes in Nigeria through SBA use, efforts should be targeted at educating girls, sexual and reproductive health education, and accessible and improved health care facility services.",International journal of women's health,2017,New Zealand,2017,10
20728608,The social cognitive determinants of offending drivers' speeding behaviour.,"The efficacy of an extended theory of planned behaviour (TPB) was tested in relation to offending drivers' (N=1403) speeding behaviour. Postal questionnaires were issued at Time 1 to measure intention, instrumental and affective attitude, subjective and descriptive norm, self-efficacy, perceived controllability, moral norm, anticipated regret, self-identity, and past speeding behaviour. At Time 2 (6 months later), subsequent speeding behaviour was measured, again using self-completion postal questionnaires. The extended TPB accounted for 68% of the variation in intention and 51% of the variation in subsequent behaviour. The independent predictors of intention were instrumental attitude, affective attitude, self-efficacy, moral norm, anticipated regret and past behaviour. The independent predictors of behaviour were intention, self-efficacy, anticipated regret and past behaviour. Theoretical and practical implications of the findings are discussed in relation to targeting road safety interventions.",Accident; analysis and prevention,2010 Nov,England,2010,10
25376925,Factors shaping intersectoral action in primary health care services.,"OBJECTIVE: To examine case studies of good practice in intersectoral action for health as one part of evaluating comprehensive primary health care in six sites in South Australia and the Northern Territory. METHODS: Interviews with primary health care workers, collaborating agency staff and service users (Total N=33); augmented by relevant documents from the services and collaborating partners. RESULTS: The value of intersectoral action for health and the importance of partner relationships to primary health care services were both strongly endorsed. Factors facilitating intersectoral action included sufficient human and financial resources, diverse backgrounds and skills and the personal rewards that sustain commitment. Key constraining factors were financial and time limitations, and a political and policy context which has become less supportive of intersectoral action; including changes to primary health care. CONCLUSIONS: While intersectoral action is an effective way for primary health care services to address social determinants of health, commitment to social justice and to adopting a social view of health are constrained by a broader health service now largely reinforcing a biomedical model. IMPLICATIONS: Effective organisational practices and policies are needed to address social determinants of health in primary health care and to provide a supportive context for workers engaging in intersectoral action.",Australian and New Zealand journal of public health,2014 Dec,Australia,2014,10
30756179,Consideration of psychosocial factors in workplace risk assessments: findings from a company survey in Germany.,"PURPOSE: Work-related psychosocial risks are an increasingly important issue in occupational safety and health (OSH) policy. In Germany, as in many other European countries, employers are legally required to carry out workplace risk assessments (WRAs) and to account for psychosocial factors when doing this. The aim of this study was to expand the still scarce and sketchy empirical evidence on the extent to which employers comply with these obligations, as well as on possible determinants of compliance behaviour. METHODS: Survey data from 6500 German companies were used to calculate the prevalence of workplace risk assessments that include psychosocial factors. Furthermore, multinomial logistic regressions were performed to explore which company characteristics influence the chance of psychosocial risk assessment occurrence. RESULTS: The prevalence of psychosocial risk assessments was 21%. Next to company size (OR = 5.7, 95% CI 3.0-11.0), availability of safety specialist assistance (OR = 3.5, 95% CI 2.6-4.6), availability of occupational health specialist assistance (OR = 3.4; 95% CI 2.6-4.4) and inspection by OSH authority (OR = 3.4, 95% CI 2.4-4.7) were the strongest predictors of psychosocial risk assessment occurrence. Smaller (but still significant) effect sizes were found for the level of knowledge about legal OSH requirements, training of managers in OSH, economic situation of the company, presence of a works council, positive view on the benefit of OSH, affiliation with the production sector and magnitude of psychosocial risks within the company. CONCLUSIONS: The study results indicate large deficiencies in the implementation of psychosocial risk assessments, especially for small companies. Findings suggest that enhancing companies' utilisation of professional OSH experts and strengthening the advisory and control capacities of the OSH inspection authorities in the area of psychosocial risks would be beneficial for improving the current situation.",International archives of occupational and environmental health,2019 Apr,Germany,2019,10
